CurrencySymbol,CurrencyName,Explorer,Decimals,PARTNER,Other
1337,1337,https://etherscan.io/token/0x35872fea6a4843facbcdbce99e3b69596a3680b8,4,,
1MT,1Million Token,https://etherscan.io/token/0xf0bc1ae4ef7ffb126a8347d06ac6f8add770e1ce,7,<@320687103144886272>,
2022M,2022MOON,https://bscscan.com/token/0x047a02a57501a813975b2d347278fdd3df671e86,18,,
2GT,2gether,https://etherscan.io/token/0xc96c1609a1a45ccc667b2b7fa6508e29617f7b69,18,,
4BIDN,4BiddenCoin,https://bscscan.com/token/0xe9c14294d19ed47C129A09F15c35259bf3C9E16E,18,,
5HRIMP,WhaleStreet SHRIMP Token,https://etherscan.io/token/0x9077f9e1efe0ea72867ac89046b2a6264cbcaef5,18,,
AAVE,Aave,https://etherscan.io/token/0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,18,,
ABST,ABSTRACT,https://etherscan.io/token/0x2Feb105FBb4c922597b125C56822B3db7351B55d,4,,
aCDS,Crypto Development Services,https://snowtrace.io/token/0x23f07a1c03e7c6d0c88e0e05e79b6e3511073fd5,8,<@665504410931036170>,
ACX,Across Protocol,https://etherscan.io/token/0x44108f0223A3C3028F5Fe7AEC7f9bb2E66beF82F,18,,
ADA,Cardano,https://coinmarketcap.com/currencies/cardano/,6,,
ADDY,Adamant,https://polygonscan.com/token/0xc3fdbadc7c795ef1d6ba111e06ff8f16a20ea539,18,,
AFT,Ape Fun Token,https://bscscan.com/token/0x187647f4f531d16abb53cde3a608ee8d0a123c8d,8,,
AIN,AndjelaNadja,https://etherscan.io/token/0x8BDfaE0F83a03F5fa98B0bDf339F56df3C9F8BD5,18,,
ALCX,Alchemix,https://etherscan.io/token/0xdbdb4d16eda451d0503b854cf79d55697f90c8df,18,,
alETH,Alchemix ETH,https://etherscan.io/token/0x0100546f2cd4c9d97f798ffc9755e47865ff7ee6,18,,
ALEX,AlexMasmej,https://etherscan.io/token/0x8BA6DcC667d3FF64C1A2123cE72FF5F0199E5315,4,,
ALIAS,Alias,https://coinmarketcap.com/currencies/alias/,8,,
alUSD,Alchemix USD,https://etherscan.io/token/0xBC6DA0FE9aD5f3b0d58160288917AA56653660E9,18,,
ALXO,Alxocity,https://etherscan.io/token/0x4317ea4820f8d9ea6a103553a89cb261b6ea7f2a,4,,
ANC,Anchor Protocol,https://app-classic.terraswap.io/pairs/terra15qa20t4hrq27ugcyut363mum72hdlgcqnannm2,6,,
ANTS,FireAnts,https://etherscan.io/token/0xa9fBB83a2689F4fF86339a4b96874d718673b627,18,,
ARC,Arc,https://etherscan.io/token/0xc82e3db60a52cf7529253b4ec688f631aad9e7c2,18,,
ARRR,Pirate Chain,https://coinmarketcap.com/currencies/pirate-chain/,8,,
ART,ART Token,https://etherscan.io/token/0xE51f24B251430A6e615f66e0d3c3A97c442aB38C,18,,
ARTONLINE,ARTonline,https://bscscan.com/token/0x535e67270f4feb15bffbfe86fee308b81799a7a5,18,,
ASTRO,Astroport,https://app-classic.terraswap.io/pairs/terra1fqhyxfrvlhguw97nuhxm34uvzar8vfr63ft7km,6,,
ASX,Ads Social,https://bscscan.com/token/0xc69EC15775Aa8bE1698893B681F415038dee8339,8,"<@428131332598792193>,<@605016732888727612>",
ATK,Attack Wagon,https://polygonscan.com/token/0xf868939ee81f04f463010bc52eab91c0839ef08c,18,,
